Ljava/lang/Deprecated,27901
Lscala/reflect/ScalaSignature,17869
Lorg/jetbrains/annotations/NotNull,11316
Lorg/springframework/lang/Nullable,8055
Lorg/jboss/logging/annotations/Message,5241
Ljava/lang/annotation/Retention,3772
Ljava/lang/annotation/Target,3650
Lkotlin/Metadata,2947
Ljavax/annotation/Nonnull,2759
Lkotlin/SinceKotlin,2636
Lorg/jetbrains/annotations/Nullable,2596
Lkotlin/internal/InlineOnly,2105
Ljavax/annotation/Nullable,2073
Ljava/lang/annotation/Documented,1694
Lcom/google/errorprone/annotations/CanIgnoreReturnValue,1597
Ljava/lang/FunctionalInterface,1542
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxGetter,1482
Lorg/codehaus/commons/nullanalysis/Nullable,1453
Lcom/google/common/annotations/Beta,1451
Lio/reactivex/annotations/CheckReturnValue,1429
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxConstant,1404
Lio/reactivex/annotations/SchedulerSupport,1383
Lakka/annotation/InternalApi,1378
Lorg/jboss/logging/annotations/LogMessage,1287
Lcom/google/common/annotations/VisibleForTesting,1241
Lorg/kuali/rice/krad/datadictionary/parse/BeanTagAttribute,1108
Lgroovy/transform/Generated,1068
Lkotlin/jvm/JvmName,1058
Lorg/apache/hadoop/classification/InterfaceAudience$Private,1045
Lcom/google/common/annotations/GwtIncompatible,1033
Lcom/google/common/annotations/GwtCompatible,1003
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxSetter,980
Ledu/umd/cs/findbugs/annotations/SuppressFBWarnings,971
Lnet/bytebuddy/build/HashCodeAndEqualsPlugin$Enhance,803
Lorg/assertj/core/internal/bytebuddy/build/HashCodeAndEqualsPlugin$Enhance,796
Lcom/fasterxml/jackson/annotation/JsonProperty,748
Lkotlin/ExperimentalUnsignedTypes,739
Lio/reactivex/annotations/NonNull,732
Lorg/infinispan/factories/annotations/Inject,731
Ljsinterop/annotations/JsProperty,714
Lkotlin/Deprecated,702
Lorg/springframework/context/annotation/Bean,683
Lkotlin/jvm/JvmField,657
Lorg/apache/hadoop/classification/InterfaceAudience$Public,656
Lcom/sun/istack/NotNull,642
Lcom/amazonaws/annotation/SdkInternalApi,607
Lio/reactivex/annotations/BackpressureSupport,594
Ljavax/inject/Inject,588
Lorg/assertj/core/util/CheckReturnValue,587
Lorg/apache/yetus/audience/InterfaceAudience$Private,578
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxClass,576
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxFunction,574
Lorg/jvnet/hk2/config/Attribute,560
Ljavax/xml/bind/annotation/XmlElement,550
Lscala/runtime/TraitSetter,533
Lorg/weakref/jmx/internal/guava/annotations/GwtIncompatible,524
Lcom/gargoylesoftware/htmlunit/javascript/configuration/JsxConstructor,522
Lorg/apache/hadoop/classification/InterfaceStability$Evolving,513
Lorg/elasticsearch/common/Nullable,512
Lorg/springframework/context/annotation/Configuration,511
Lorg/apache/poi/util/Internal,480
Ljavax/xml/bind/annotation/XmlAttribute,477
Ljavax/xml/bind/annotation/XmlAccessorType,473
Lio/vertx/codegen/annotations/Fluent,446
Lorg/apache/yetus/audience/InterfaceAudience$Public,437
Lkotlin/OverloadResolutionByLambdaReturnType,432
Lorg/springframework/boot/autoconfigure/condition/ConditionalOnMissingBean,427
Lorg/springframework/lang/NonNullApi,420
Lorg/apache/hadoop/classification/InterfaceStability$Unstable,416
Ljava/lang/SafeVarargs,404
Lorg/apache/http/annotation/Contract,395
Ljavax/xml/bind/annotation/XmlType,385
Lcom/gargoylesoftware/htmlunit/javascript/configuration/BrowserFeature,378
Lorg/weakref/jmx/internal/guava/annotations/Beta,371
Lorg/apache/hadoop/classification/InterfaceStability$Stable,369
Lkotlin/WasExperimental,362
Lorg/weakref/jmx/internal/guava/annotations/GwtCompatible,361
Lcom/mongodb/lang/Nullable,351
Lorg/springframework/lang/NonNullFields,336
Ljavax/annotation/concurrent/GuardedBy,334
Lkotlin/jvm/JvmStatic,323
