suffix,n
RC1,14503
M1,9551
RC2,8269
M2,6956
M3,6100
rc1,5504
RC3,5125
M4,4411
rc2,4104
M5,3576
01,3307
incubating,3299
beta,3243
rc-1,3224
RELEASE,3218
RC4,3071
alpha,2865
rc3,2704
b03,2637
beta-1,2566
b04,2553
M6,2430
b05,2403
beta1,2359
b01,2324
beta2,2279
b06,2255
b02,2169
1,2077
b07,1951
M7,1803
rc4,1769
RC5,1714
rc.1,1706
b08,1574
b09,1551
beta-2,1533
M8,1531
02,1502
alpha-1,1498
rc5,1439
beta3,1406
alpha-2,1394
RC001,1352
b10,1339
M9,1295
SNAPSHOT,1279
rc6,1225
2,1217
b11,1200
alpha1,1174
b33,1071
RC6,1068
m1,1063
milestone-1,1042
alpha2,1037
beta-3,1022
alpha-3,974
rc.2,963
milestone-2,917
b16,902
RC7,887
b15,870
b19,857
b18,848
b17,848
alpha-4,843
beta4,838
b14,833
m2,824
b1,807
M10,806
b12,805
alpha3,790
3,788
hadoop1,775
b20,762
rc.3,754
beta-4,732
b28,719
RC002,708
beta6,684
beta5,658
b24,656
m3,634
b26,633
b27,626
b72,624
b21,621
GA,596
RC8,591
b2,589
b30,584
b32,583
b31,583
ea04,582
b34,579
b25,575
alpha4,573
b13,570
m4,570
ea02,569
b22,567
04,559
ea03,557
ea01,552
beta.1,544
b41,531
RC003,530
alpha-5,528
b40,525
b38,522
b36,522
b37,516
b3,514
b35,511
b23,498
M11,497
ea06,494
RC9,486
rc7,483
beta7,479
release,461
alpha.1,450
03,442
b39,439
4,436
rc.4,431
rc01,421
rc02,416
beta.2,413
beta-5,399
alpha5,395
rc-2,395
alpha.2,387
5,386
M0,386
alpha-6,382
M01,380
rc0,379
alpha.3,373
ea05,372
RC10,362
b29,360
hadoop2,358
RC0,354
m5,353
b61,345
scalaz-7.0.6,344
b62,342
beta.3,342
b90,342
beta8,340
alpha.4,339
b6,338
rc.5,338
b5,337
alpha02,336
b60,335
M02,334
b59,332
b58,332
b4,331
Final,325
alpha03,324
alpha07,323
alpha-7,321
beta9,321
alpha01,320
alpha04,320
M12,315
alpha05,313
alpha06,313
BETA1,311
rc03,310
M03,304
ea07,303
beta-6,287
BETA,287
b70,286
b69,285
b74a,284
b73,284
b71,284
RC11,284
b74b,282
b74,282
b65,280
b67,279
b68,277
b66,276
b55,276
b63,275
b64,274
pre3,268
beta.4,265
milestone-3,262
Beta1,257
scalaz-7.1,256
ea,254
M04,253
ea-brooklyn.1,251
M15,248
alpha6,247
rc,246
1.0.0,244
pre2,243
alpha-9,241
alpha08,241
BETA2,240
alpha10,238
RC12,235
M13,234
beta11,233
RC16,233
RC,232
alpha-10,231
b56,230
b57,229
b54,229
pre4,226
update1,226
b52,225
b53,225
b8,223
b50,222
b48,219
b45,218
update5,218
b46,217
b49,216
m6,215
b47,215
m7,215
05,214
alpha-11,213
7,213
beta.5,210
Alpha1,209
incubator,208
beta10,208
Alpha2,208
6,205
beta12,205
b42,205
pre5,204
b43,198
0,197
b44,197
public,196
M05,196
Beta2,194
beta.8,194
Alpha3,194
Beta3,193
beta13,193
update6,192
beta.6,191
cm,189
alpha7,188
beta01,188
beta.7,185
update2,185
beta.9,183
update3,183
beta.10,181
update4,180
M17,179
RC004,178
rc-3,177
m11,176
BETA3,173
M20,173
alpha.6,172
06,171
9,171
alpha-8,170
m10,169
beta02,169
RC17,166
update8,166
cr1,165
RC01,165
M3-JOnAS,164
rc.6,163
beta-7,158
alpha.5,157
beta.11,157
M21,157
CR1,156
b51,156
rc.7,156
beta.0,155
M14,153
RC5.1,151
M2-SR2,151
8,150
M2-SR1,150
Preview,150
preview-11,150
Prelude-Embedded-m2,149
RC4.2,149
scalacheck-1.13,149
Prelude,146
final,146
alpha-12,145
Prelude-Embedded-b14,145
Preview-b47c,145
Prelude-Embedded-b12,145
Prelude-Embedded-b13,145
M18,145
Prelude-Embedded-b11,144
alpha09,144
beta14,143
Preview-b47a,143
Preview-b47b,143
Prelude-Embedded-b10,143
Prelude-b28b,142
preview-6,140
RC2_JONAS,139
M06,139
M3-JONAS,138
M23,138
m8,138
update7,138
preview-9,138
CB3,138
preview-8,138
preview-5,137
oss,137
preview-1,136
beta15,133
RC13,133
